Run,Proc,Trial,Block,Letter,TrialNum,Respond,Duration
1,zeroback,ZeroBack,1,G,1,0,4
1,zeroback,ZeroBack,1,K,2,0,4
1,zeroback,ZeroBack,1,F,3,0,4
1,zeroback,ZeroBack,1,C,4,1,4
1,zeroback,ZeroBack,1,K,5,0,4
1,zeroback,ZeroBack,1,B,6,0,4
1,zeroback,ZeroBack,1,C,7,1,4
1,zeroback,ZeroBack,1,M,8,0,4
1,zeroback,ZeroBack,1,Q,9,0,4
1,zeroback,ZeroBack,1,C,10,1,4
1,zeroback,ZeroBack,1,X,11,0,4
1,zeroback,ZeroBack,1,C,12,1,4
1,zeroback,ZeroBack,1,V,13,0,4
1,rest,Rest,NA,NA,14,NA,8
1,twoback,TwoBack,2,R,15,0,4
1,twoback,TwoBack,2,F,16,0,4
1,twoback,TwoBack,2,S,17,0,4
1,twoback,TwoBack,2,F,18,1,4
1,twoback,TwoBack,2,T,19,0,4
1,twoback,TwoBack,2,G,20,0,4
1,twoback,TwoBack,2,R,21,0,4
1,twoback,TwoBack,2,G,22,1,4
1,twoback,TwoBack,2,Q,23,0,4
1,twoback,TwoBack,2,K,24,0,4
1,twoback,TwoBack,2,Q,25,1,4
1,twoback,TwoBack,2,K,26,1,4
1,twoback,TwoBack,2,H,27,0,4
1,rest,Rest,NA,NA,28,NA,8
1,zeroback2,ZeroBack,3,J,29,0,4
1,zeroback2,ZeroBack,3,V,30,0,4
1,zeroback2,ZeroBack,3,X,31,0,4
1,zeroback2,ZeroBack,3,C,32,1,4
1,zeroback2,ZeroBack,3,Z,33,0,4
1,zeroback2,ZeroBack,3,C,34,1,4
1,zeroback2,ZeroBack,3,F,35,0,4
1,zeroback2,ZeroBack,3,C,36,1,4
1,zeroback2,ZeroBack,3,H,37,0,4
1,zeroback2,ZeroBack,3,B,38,0,4
1,zeroback2,ZeroBack,3,Q,39,0,4
1,zeroback2,ZeroBack,3,R,40,0,4
1,zeroback2,ZeroBack,3,C,41,1,4
1,rest,Rest,NA,NA,42,NA,8
1,twoback2,TwoBack,4,V,43,0,4
1,twoback2,TwoBack,4,J,44,0,4
1,twoback2,TwoBack,4,V,45,1,4
1,twoback2,TwoBack,4,K,46,0,4
1,twoback2,TwoBack,4,Z,47,0,4
1,twoback2,TwoBack,4,G,48,0,4
1,twoback2,TwoBack,4,Z,49,1,4
1,twoback2,TwoBack,4,F,50,0,4
1,twoback2,TwoBack,4,S,51,0,4
1,twoback2,TwoBack,4,F,52,1,4
1,twoback2,TwoBack,4,S,53,1,4
1,twoback2,TwoBack,4,M,54,0,4
1,twoback2,TwoBack,4,C,55,0,4
1,rest,Rest,NA,NA,56,NA,8
1,twoback3,TwoBack,5,M,57,0,4
1,twoback3,TwoBack,5,V,58,0,4
1,twoback3,TwoBack,5,M,59,1,4
1,twoback3,TwoBack,5,V,60,1,4
1,twoback3,TwoBack,5,D,61,0,4
1,twoback3,TwoBack,5,T,62,0,4
1,twoback3,TwoBack,5,Q,63,0,4
1,twoback3,TwoBack,5,T,64,1,4
1,twoback3,TwoBack,5,S,65,0,4
1,twoback3,TwoBack,5,Z,66,0,4
1,twoback3,TwoBack,5,S,67,1,4
1,twoback3,TwoBack,5,B,68,0,4
1,twoback3,TwoBack,5,B,69,0,4
1,rest,Rest,NA,NA,70,NA,8
1,zeroback3,ZeroBack,6,R,71,0,4
1,zeroback3,ZeroBack,6,T,72,0,4
1,zeroback3,ZeroBack,6,K,73,0,4
1,zeroback3,ZeroBack,6,J,74,0,4
1,zeroback3,ZeroBack,6,C,75,1,4
1,zeroback3,ZeroBack,6,F,76,0,4
1,zeroback3,ZeroBack,6,C,77,1,4
1,zeroback3,ZeroBack,6,K,78,0,4
1,zeroback3,ZeroBack,6,X,79,0,4
1,zeroback3,ZeroBack,6,X,80,0,4
1,zeroback3,ZeroBack,6,C,81,1,4
1,zeroback3,ZeroBack,6,V,82,0,4
1,zeroback3,ZeroBack,6,C,83,1,4
1,rest,Rest,NA,NA,84,NA,8
1,twoback4,TwoBack,7,G,85,0,4
1,twoback4,TwoBack,7,J,86,0,4
1,twoback4,TwoBack,7,S,87,0,4
1,twoback4,TwoBack,7,J,88,1,4
1,twoback4,TwoBack,7,K,89,0,4
1,twoback4,TwoBack,7,F,90,0,4
1,twoback4,TwoBack,7,K,91,1,4
1,twoback4,TwoBack,7,M,92,0,4
1,twoback4,TwoBack,7,C,93,0,4
1,twoback4,TwoBack,7,M,94,1,4
1,twoback4,TwoBack,7,C,95,1,4
1,twoback4,TwoBack,7,D,96,0,4
1,twoback4,TwoBack,7,T,97,0,4
1,rest,Rest,NA,NA,98,NA,8
1,zeroback4,ZeroBack,8,D,99,0,4
1,zeroback4,ZeroBack,8,F,100,0,4
1,zeroback4,ZeroBack,8,C,101,1,4
1,zeroback4,ZeroBack,8,J,102,0,4
1,zeroback4,ZeroBack,8,C,103,1,4
1,zeroback4,ZeroBack,8,K,104,0,4
1,zeroback4,ZeroBack,8,M,105,0,4
1,zeroback4,ZeroBack,8,R,106,0,4
1,zeroback4,ZeroBack,8,C,107,1,4
1,zeroback4,ZeroBack,8,V,108,0,4
1,zeroback4,ZeroBack,8,X,109,0,4
1,zeroback4,ZeroBack,8,C,110,1,4
1,zeroback4,ZeroBack,8,C,111,1,4
1,rest,Rest,NA,NA,112,NA,8
2,zeroback5,ZeroBack,1,C,113,1,4
2,zeroback5,ZeroBack,1,R,114,0,4
2,zeroback5,ZeroBack,1,G,115,0,4
2,zeroback5,ZeroBack,1,C,116,1,4
2,zeroback5,ZeroBack,1,F,117,0,4
2,zeroback5,ZeroBack,1,Q,118,0,4
2,zeroback5,ZeroBack,1,M,119,0,4
2,zeroback5,ZeroBack,1,M,120,0,4
2,zeroback5,ZeroBack,1,F,121,0,4
2,zeroback5,ZeroBack,1,C,122,1,4
2,zeroback5,ZeroBack,1,R,123,0,4
2,zeroback5,ZeroBack,1,C,124,1,4
2,zeroback5,ZeroBack,1,Q,125,0,4
2,rest,Rest,NA,NA,126,NA,8
2,twoback5,TwoBack,2,G,127,0,4
2,twoback5,TwoBack,2,H,128,0,4
2,twoback5,TwoBack,2,G,129,1,4
2,twoback5,TwoBack,2,T,130,0,4
2,twoback5,TwoBack,2,M,131,0,4
2,twoback5,TwoBack,2,X,132,0,4
2,twoback5,TwoBack,2,K,133,0,4
2,twoback5,TwoBack,2,X,134,1,4
2,twoback5,TwoBack,2,T,135,0,4
2,twoback5,TwoBack,2,H,136,0,4
2,twoback5,TwoBack,2,Z,137,0,4
2,twoback5,TwoBack,2,M,138,0,4
2,twoback5,TwoBack,2,Z,139,1,4
2,rest,Rest,NA,NA,140,NA,8
2,zeroback6,ZeroBack,3,C,141,1,4
2,zeroback6,ZeroBack,3,S,142,0,4
2,zeroback6,ZeroBack,3,C,143,1,4
2,zeroback6,ZeroBack,3,K,144,0,4
2,zeroback6,ZeroBack,3,R,145,0,4
2,zeroback6,ZeroBack,3,T,146,0,4
2,zeroback6,ZeroBack,3,G,147,0,4
2,zeroback6,ZeroBack,3,H,148,0,4
2,zeroback6,ZeroBack,3,Z,149,0,4
2,zeroback6,ZeroBack,3,X,150,0,4
2,zeroback6,ZeroBack,3,J,151,0,4
2,zeroback6,ZeroBack,3,C,152,1,4
2,zeroback6,ZeroBack,3,F,153,0,4
2,rest,Rest,NA,NA,154,NA,8
2,twoback6,TwoBack,4,K,155,0,4
2,twoback6,TwoBack,4,X,156,0,4
2,twoback6,TwoBack,4,J,157,0,4
2,twoback6,TwoBack,4,R,158,0,4
2,twoback6,TwoBack,4,S,159,0,4
2,twoback6,TwoBack,4,G,160,0,4
2,twoback6,TwoBack,4,S,161,1,4
2,twoback6,TwoBack,4,G,162,1,4
2,twoback6,TwoBack,4,T,163,0,4
2,twoback6,TwoBack,4,V,164,0,4
2,twoback6,TwoBack,4,T,165,1,4
2,twoback6,TwoBack,4,C,166,0,4
2,twoback6,TwoBack,4,Q,167,0,4
2,rest,Rest,NA,NA,168,NA,8
2,twoback7,TwoBack,5,Q,169,0,4
2,twoback7,TwoBack,5,C,170,0,4
2,twoback7,TwoBack,5,X,171,0,4
2,twoback7,TwoBack,5,R,172,0,4
2,twoback7,TwoBack,5,X,173,1,4
2,twoback7,TwoBack,5,J,174,0,4
2,twoback7,TwoBack,5,B,175,0,4
2,twoback7,TwoBack,5,J,176,1,4
2,twoback7,TwoBack,5,X,177,0,4
2,twoback7,TwoBack,5,H,178,0,4
2,twoback7,TwoBack,5,M,179,0,4
2,twoback7,TwoBack,5,H,180,1,4
2,twoback7,TwoBack,5,F,181,0,4
2,rest,Rest,NA,NA,182,NA,8
2,zeroback7,ZeroBack,6,Z,183,0,4
2,zeroback7,ZeroBack,6,T,184,0,4
2,zeroback7,ZeroBack,6,R,185,0,4
2,zeroback7,ZeroBack,6,C,186,1,4
2,zeroback7,ZeroBack,6,F,187,0,4
2,zeroback7,ZeroBack,6,S,188,0,4
2,zeroback7,ZeroBack,6,D,189,0,4
2,zeroback7,ZeroBack,6,D,190,0,4
2,zeroback7,ZeroBack,6,R,191,0,4
2,zeroback7,ZeroBack,6,C,192,1,4
2,zeroback7,ZeroBack,6,Q,193,0,4
2,zeroback7,ZeroBack,6,M,194,0,4
2,zeroback7,ZeroBack,6,C,195,1,4
2,rest,Rest,NA,NA,196,NA,8
2,twoback8,TwoBack,7,F,197,0,4
2,twoback8,TwoBack,7,X,198,0,4
2,twoback8,TwoBack,7,F,199,1,4
2,twoback8,TwoBack,7,C,200,0,4
2,twoback8,TwoBack,7,Q,201,0,4
2,twoback8,TwoBack,7,C,202,1,4
2,twoback8,TwoBack,7,M,203,0,4
2,twoback8,TwoBack,7,V,204,0,4
2,twoback8,TwoBack,7,Z,205,0,4
2,twoback8,TwoBack,7,V,206,1,4
2,twoback8,TwoBack,7,C,207,0,4
2,twoback8,TwoBack,7,R,208,0,4
2,twoback8,TwoBack,7,C,209,1,4
2,rest,Rest,NA,NA,210,NA,8
2,zeroback8,ZeroBack,8,H,211,0,4
2,zeroback8,ZeroBack,8,T,212,0,4
2,zeroback8,ZeroBack,8,H,213,0,4
2,zeroback8,ZeroBack,8,C,214,1,4
2,zeroback8,ZeroBack,8,R,215,0,4
2,zeroback8,ZeroBack,8,M,216,0,4
2,zeroback8,ZeroBack,8,C,217,1,4
2,zeroback8,ZeroBack,8,S,218,0,4
2,zeroback8,ZeroBack,8,C,219,1,4
2,zeroback8,ZeroBack,8,B,220,0,4
2,zeroback8,ZeroBack,8,T,221,0,4
2,zeroback8,ZeroBack,8,D,222,0,4
2,zeroback8,ZeroBack,8,S,223,0,4
